n_steps,bt_rmse,et_rmse,ror_rmse,bt_mae,et_mae,ror_mae,terminal_bt_error,terminal_et_error,terminal_ror_error,roast_id,observer_enabled,start_weight_kg,bean_start_temp_c,charge_temp_c,model_json
784,13.0958128834891,14.931464593210425,27.87826097540945,11.974894390714537,14.096133295543872,10.940177831207702,10.876944732966706,10.077678278193162,12.17695063610751,PR-0173,False,,,221.2,C:\Projects\roastos\roastos-prototype\artifacts\models\physics_model_v3_0.json
755,12.759505631029507,13.177937580957321,25.537243591273306,11.50821466477967,11.908329177290971,10.372005543484846,9.247398990014062,6.690814284157852,-0.21511595132978442,PR-0181,False,,,226.0,C:\Projects\roastos\roastos-prototype\artifacts\models\physics_model_v3_0.json
600,39.265455350460485,33.72481960679767,32.69338801718626,37.44700650817034,32.84781736134157,16.603239267761232,-38.20345935279775,-37.68410911218339,0.8992504221366615,PR-0186,False,,,227.2,C:\Projects\roastos\roastos-prototype\artifacts\models\physics_model_v3_0.json
