i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
1,PR-0173,1.0,drying,drying,0.25,144.3,0.65,,,221.2,,True,237.5,32.344364984763104,221.2,216.17853061141471,0.0,132.1985697257359,-0.6864084724799011,-0.10800422857609131,0.9845147710440382,0.0,0.0,0.0,-205.1556350152369,-5.021469388585274,132.1985697257359
2,PR-0173,2.0,drying,drying,0.75,145.3,0.65,,,221.2,,True,237.5,106.50460395022053,221.2,213.96229178638134,0.0,116.43499982865333,-0.528596129663987,-0.10178610431841356,0.9683101020866721,0.1084100658370088,0.0,0.0,-130.99539604977946,-7.237708213618646,116.43499982865333
3,PR-0173,3.0,drying,drying,0.75,142.3,0.65,,,221.2,,True,237.5,151.71091681542998,221.2,212.37140023422168,0.0,53.64623636420566,-0.3599933264790768,-0.09514281418223271,0.9516692789161756,0.8618486135904997,0.03719384381369527,0.0,-85.78908318457002,-8.828599765778307,53.64623636420566
4,PR-0173,4.0,drying,drying,0.75,124.5,0.65,,,221.2,,True,237.5,179.26120770715684,221.2,211.23587404957254,0.0,-14.524095647752372,-0.11968962079622797,-0.08567436402900622,0.9347643080986083,1.0,0.6361132110251487,0.0,-58.23879229284316,-9.964125950427444,-14.524095647752372
5,PR-0173,5.0,drying,drying,0.75,130.7,0.65,,,221.2,,True,236.5,196.04593698266086,218.8,210.42758681847243,-60.0,-72.91275804858074,0.09264930798233839,-0.07730778242754378,0.917699572860597,1.0,1.0,0.0017668070254177775,-40.45406301733914,-8.372413181527577,-12.912758048580741
6,PR-0173,6.0,drying,drying,0.75,142.6,0.65,,,221.2,,True,230.2,205.9025671825612,213.2,209.2752082848754,-378.0000000000007,-126.67239791823557,0.2538027984110699,-0.0709580102223796,0.9005477951059226,1.0,1.0,0.3808679685600461,-24.29743281743879,-3.9247917151245986,251.32760208176512
7,PR-0173,7.0,drying,drying,0.75,143.7,0.65,,,221.2,,True,223.2,209.71994779882925,206.8,207.10398467788016,-420.0,-208.2175184912512,0.40880960654322396,-0.06485042968366303,0.8833795557811556,1.0,1.0,0.5276902999549713,-13.480052201170736,0.3039846778801518,211.7824815087488
8,PR-0173,8.0,drying,drying,0.75,145.0,0.65,,,221.2,,True,214.5,209.55970270839273,197.0,204.0042974459422,-521.9999999999993,-263.2105508503334,0.5569066269486224,-0.059015108702801584,0.8662439157796122,1.0,1.0,0.5276902999549713,-4.940297291607266,7.0042974459422,258.7894491496659
9,PR-0173,9.0,drying,drying,0.75,132.5,0.65,,,221.2,,True,206.8,206.3190332028932,189.0,199.4187891900611,-461.9999999999993,-309.93383251230426,0.755058442971447,-0.05120752792724915,0.8491865375556827,1.0,1.0,0.5276902999549713,-0.48096679710681656,10.41878919006109,152.06616748769505
10,PR-0173,10.0,drying,drying,0.75,114.1,0.65,,,221.2,,True,199.5,201.48797055811542,181.0,194.19776049772292,-438.0000000000007,-328.23216463466315,1.0270893881232621,-0.04048896061682882,0.8322296802451243,1.0,1.0,0.5276902999549713,1.9879705581154212,13.197760497722925,109.76783536533753
11,PR-0173,11.0,drying,drying,0.75,109.6,0.65,,,221.2,,True,192.8,195.78878477579107,173.5,188.51876990274965,-401.9999999999993,-335.19114176112237,1.3149528995192918,-0.029146558297892845,0.8153866046983389,1.0,1.0,0.5276902999549713,2.9887847757910606,15.018769902749654,66.80885823887695
12,PR-0173,12.0,drying,drying,0.75,117.5,0.65,,,221.2,,True,186.5,189.74235425541346,167.0,182.6275527496698,-378.0000000000007,-333.99344466554186,1.567367171802186,-0.019200927420989968,0.7986629056282881,1.0,1.0,0.5276902999549713,3.24235425541346,15.627552749669803,44.006555334458824
