i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
16,PR-0173,16.0,drying,drying,0.75,131.2,0.65,,,221.2,,False,162.8,163.9613546082571,151.0,177.29198682404916,-240.0,-236.32820206025866,2.387995156437133,0.013133468525086716,0.729500422091593,1.0,1.0,1.0,1.161354608257085,26.29198682404916,3.6717979397413387
17,PR-0173,17.0,drying,drying,0.75,131.9,0.65,,,221.2,,False,155.8,160.3972047394759,147.8,175.48921554536977,-420.0,-229.58443908024242,2.570309803924504,0.020317032952576256,0.7131415578887446,1.0,1.0,1.0,4.597204739475899,27.689215545369763,190.41556091975758
18,PR-0173,18.0,drying,drying,0.75,130.2,0.65,,,221.2,,False,152.2,156.9451877633998,146.0,173.764013057243,-216.00000000000136,-222.8454129255399,2.757810169088722,0.027704925104402832,0.6968344658805381,1.0,1.0,1.0,4.745187763399798,27.764013057243005,-6.84541292553854
19,PR-0173,19.0,drying,drying,0.75,131.3,0.65,,,221.2,,False,146.5,153.6030151339385,143.5,172.11313167578703,-341.9999999999993,-216.1508963781811,2.938900383209007,0.03484024439031517,0.6805773044124408,1.0,1.0,1.0,7.103015133938499,28.61313167578703,125.84910362181822
20,PR-0173,20.0,drying,drying,0.75,131.2,0.65,,,221.2,,False,143.2,150.36850226903377,142.2,170.533716975907,-198.00000000000068,-209.5268590330119,3.1185919813146614,0.04192045538740438,0.6643682822199914,1.0,1.0,1.0,7.16850226903378,28.33371697590701,-11.52685903301122
21,PR-0173,21.0,drying,drying,0.75,130.6,0.65,,,221.2,,False,137.8,147.23949122100456,140.0,169.02313382476893,-323.99999999999864,-202.99100018763414,3.2989603801986904,0.04902733369873869,0.6482056559695337,1.0,1.0,1.0,9.439491221004545,29.023133824768934,121.0089998123645
22,PR-0173,22.0,drying,drying,0.75,129.7,0.65,,,221.2,,False,134.0,144.2138349997461,138.8,167.57891233022704,-228.00000000000068,-196.55551211399614,3.4812356702330263,0.05620934736328365,0.632087728496234,1.0,1.0,1.0,10.213834999746098,28.77891233022703,31.444487886004538
23,PR-0173,23.0,drying,drying,0.75,131.0,0.65,,,221.2,,False,130.5,141.28907384051035,137.5,166.19818190381434,-210.0,-190.23455934604067,3.6563284877215843,0.06310835713871518,0.6160128559387907,1.0,1.0,1.0,10.789073840510355,28.698181903814344,19.76544065395933
24,PR-0173,24.0,drying,drying,0.75,128.8,0.65,,,221.2,,False,126.8,138.4631912319876,136.5,164.8789659014729,-222.00000000000017,-184.03007849563815,3.838740671819837,0.07029576470518432,0.5999794343674562,1.0,1.0,1.0,11.663191231987597,28.378965901472895,37.96992150436202
25,PR-0173,25.0,drying,drying,0.75,130.2,0.65,,,221.2,,False,123.2,135.73369171868893,135.5,163.6185525148384,-215.99999999999966,-177.95204618632263,4.013556728305102,0.07718386953948482,0.5839859119251208,1.0,1.0,1.0,12.533691718688928,28.1185525148384,38.047953813677026
26,PR-0173,26.0,drying,drying,0.75,129.2,0.65,,,221.2,,False,120.0,133.0983885884164,134.5,162.41487216767655,-192.00000000000017,-172.00188867533117,4.190747485491233,0.08416554236580231,0.5680307793175599,1.0,1.0,1.0,13.098388588416412,27.91487216767655,19.998111324668997
27,PR-0173,27.0,drying,drying,0.75,130.6,0.65,,,221.2,,False,117.0,130.55478209520885,133.8,161.26539464014752,-180.0,-166.18623895046795,4.360394329333497,0.09084996980735266,0.5521125775502063,1.0,1.0,1.0,13.55478209520885,27.465394640147508,13.813761049532047
28,PR-0173,28.0,drying,drying,0.75,130.1,0.65,,,221.2,,False,114.2,128.1006258889776,133.2,160.16811330895212,-167.99999999999983,-160.50517897749026,4.530406135370197,0.09754877749466748,0.536229890158227,1.0,1.0,1.0,13.900625888977586,26.968113308952127,7.494821022509569
29,PR-0173,29.0,drying,drying,0.75,129.8,0.65,,,221.2,,False,111.5,125.7336613296259,132.5,159.12105164482938,-162.00000000000017,-154.95898735257353,4.699954681726245,0.10422933181721712,0.5203813430284824,1.0,1.0,1.0,14.233661329625903,26.62105164482938,7.041012647426641
