i,time_s,phase_actual,measured_bt,measured_et,measured_ror,estimated_bt,estimated_et,estimated_ror,estimated_e_drum,estimated_m_burden,estimated_p_dry,estimated_p_mai,estimated_p_dev,actual_gas_now,actual_pressure_now,actual_drum_now,recommended_gas,recommended_pressure,recommended_drum,recommendation_text,mpc_objective,candidate_index
74,75.0,drying,74.8,141.5,17.99999999999983,74.8814416686795,141.08414049588538,8.769679078493308,0.7355228247748146,0.0,1.0,1.0,0.5102107372236916,1.0,129.9,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-69.9 Pa),27.236380611883547,12
75,76.0,drying,74.8,141.8,0.0,74.99068408406282,141.44117882830727,7.962646117286129,0.7428283600203646,0.0,1.0,1.0,0.5102107372236916,1.0,131.5,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.5 Pa),27.644750969451934,12
76,77.0,drying,75.0,142.2,12.00000000000017,75.14524256363029,141.8064139248604,10.21091242483127,0.750060839913459,0.0,1.0,1.0,0.5102107372236916,1.0,131.1,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.1 Pa),28.175847988295814,12
77,78.0,drying,75.0,142.5,0.0,75.25776485951178,142.1524920871879,9.33710108312118,0.7572209950076224,0.0,1.0,1.0,0.5102107372236916,1.0,130.3,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.3 Pa),28.62333152107383,12
78,79.0,drying,75.2,143.0,12.00000000000017,75.41382117917634,142.5346657697872,11.533924137484675,0.7643095485508442,0.0,1.0,1.0,0.5102107372236916,1.0,131.0,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.0 Pa),28.93794473424722,12
79,80.0,drying,75.5,143.2,17.99999999999983,75.63284567931537,142.86782580668313,14.24301527860786,0.7713272165586338,0.0,1.0,1.0,0.5102107372236916,1.0,130.0,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.0 Pa),29.712439046590493,12
80,81.0,drying,75.8,143.5,17.99999999999983,75.88837834627434,143.1905274659358,15.941031060571987,0.7782747078863455,0.0,1.0,1.0,0.5102107372236916,1.0,132.1,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-72.1 Pa),32.09909736053023,12
81,82.0,drying,76.0,143.8,12.00000000000017,76.13076572004186,143.50560685625788,15.83129285157419,0.7851527243007801,0.0,1.0,1.0,0.5102107372236916,1.0,131.8,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.8 Pa),33.348328586276686,12
82,83.0,drying,76.2,144.0,12.00000000000017,76.36478824840779,143.79011225369797,15.913191131466743,0.7919619605510704,0.0,1.0,1.0,0.5102107372236916,1.0,131.1,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-71.1 Pa),32.7796461462834,12
83,84.0,drying,76.5,144.5,17.99999999999983,76.62746794787641,144.12747412820192,17.282341563349647,0.7987031044388576,0.0,1.0,1.0,0.5102107372236916,1.0,130.8,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-70.8 Pa),32.869956730091545,12
84,85.0,drying,76.5,144.8,0.0,76.80468625913186,144.45292669426928,14.5925453360535,0.805376836887767,0.0,1.0,1.0,0.5102107372236916,1.0,132.8,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-72.8 Pa),32.483645551344146,12
85,86.0,drying,77.0,145.2,30.0,77.1041985072575,144.79471230309542,19.292740955934285,0.8119838320121874,0.0,1.0,1.0,0.5102107372236916,1.0,132.4,0.65,0.6399999999999998,60.0,0.65,Reduce gas slightly (-0.36) | Reduce airflow (-72.4 Pa),32.1892908454252,12
